読む	よむ	читать
祝言	しゅうげん	празднование, свадьба
祈願	きがん	молитва, мольба
がっつく	がっつく	быть жадным, жадно поглощать
天辺	てっぺん	вершина, верхушка, темя
丁重	ていちょう	вежливый, учтивый, любезный, почтительный
引っ手繰る	ひったくる	выхватить, вырвать
浮付く	うわつく	нервничать, быть непостоянным, поверхностным
高潔	こうけつ	благородный, великодушный, высоконравственный
柚子	ゆず	цитрон, китайский лимон
温存する	おんぞんする	бережно сохранять, пригревать, покровительствовать
糖分	とうぶん	содержание сахара, сахар
枯渇	こかつ	высыхание, истощение, оскуднение
井戸	いど	колодец
巫女	みこ	храмовая жрица, прорицательница
尼	あま	буддийская монахиня
合宿	がっしゅく	сбор спортсменов, учебный лагерь
制圧	せいあつ	подавление, подчинение своей власти, господство
教訓	きょうくん	наставление, поучение
色欲	しきよく	половое влечение, похоть
丸め込む	まるめこむ	надувать, обводить вокруг пальца, заговаривать зубы
種別	しゅべつ	классификация, сортировка
表六玉	ひょうろくだま	простофиля, дурачок
実践	じっせん	претворение в жизнь, практика
過多	かた	избыток, излишек, чрезмерность
来訪	らいほう	визит, посещение, приезд
我関せず	われかんせず	не обращая внимания
経	きょう	сутра
漕ぐ	こぐ	грести
荒ぶ	すさぶ	дичать, приходить в упадок, грубеть
免職	めんしょく	увольнение со службы
好敵手	こうてきしゅ	достойный противник
見目	みめ	внешний вид
石段	いしだん	каменная лестница, ступени
燕	つばめ	ласточка
水準	すいじゅん	уровень, стандарт, уровень воды
颯爽	さっそう	лихой, бравый, молодецкий
力添え	ちからぞえ	помощь, содействие, поддержка
模擬	もぎ	подражание, имитация
耳寄り	みみより	приятные новости
威風	いふう	внушительность, внушительный вид
口火	くちび	причина ссоры, искра войны
言葉の綾	ことばのあや	фигура речи
出生	しゅっしょう	рождение
講座	こうざ	кафедра, курс лекций
鞘	さや	ножны
中腹	ちゅうふく	горный склон
模造	もぞう	имитация, подделка под
捻挫	ねんざ	вывих
甲冑	かっちゅう	доспехи и шлем
非情	ひじょう	неодушевленный, неживая природа
狼狽	ろうばい	замешательство, растерянность, смятение, паника
謙虚	けんきょ	скромность
邪道	じゃどう	зло, порок, ересь
礼節	れいせつ	этикет, вежливость, хорошие манеры
加熱	かねつ	нагревание
模索する	もさくする	искать ощупью, нащупывать
宿敵	しゅくてき	старый противник, заклятый враг
屠る	ほふる	забивать, устраивать резню, громить
見掛け倒し	みかけだおし	ложное впечатление, обманчивый вид, только для виду
史実	しじつ	исторический факт
戦	いくさ	война, сражение
笑止	しょうし	смехотворный, нелепый, жалкий
懲戒	ちょうかい	дисиплинарное взыскание
必定	ひつじょう	непременно, несомненно
落第	らくだい	неудача на экзамене
目測	もくそく	измерение на глаз
俊足	しゅんそく	хороший бегун, выдающийся человек, талант, быстрая лошадь
釜茹で	かまゆで	кипячение в котле, сваривание заживо
写本	しゃほん	рукопись, манускрипт
後ろ向き	うしろむき	ретраградный, бесперспективный, обращенный в прошлое
矮小	わいしょう	карликовый, мелкий, неполномерный
角材	かくざい	брус
景品	けいひん	подарок (покупателю от магазина)
動じる	どうじる	быть взволнованным
狼狽える	うろたえる	робеть, теряться
二束三文	にそくさんもん	грошовый, по дешевке, за бесценок
夢遊病	むゆうびょう	лунатизм, сомнамбулизм
口論	こうろん	спор, пререкания, перебранка
兵糧攻め	ひょうろうぜめ	голоденая блокада
相伝	そうでん	наследование
物議	ぶつぎ	толки, разговоры, осуждение
模する	もする	подражать, копировать
増設	ぞうせつ	расширение, распространение
車庫	しゃこ	гараж, депо, парк
手順	てじゅん	ход, процесс, порядок, программа
出費	しゅっぴ	расходы, издержки, ассигнования
素麺	そうめん	вермишель
貯める	ためる	копить, откладывать
新手	あらて	пополнение, новичок, новые приемы
甘ったるい	あまったるい	слащавый, приторный
弾	たま	пуля, снаряд
害虫	がいちゅう	вредители
土下座	どげざ	коленопреклонение, подобострастие
虫酸	むしず	изжога, сильное отвращение
手心	てごころ	усмотрение, принятие в расчет, сноровка, старания
波紋	はもん	рябь, шум, резонанс
恩知らず	おんしらず	неблагодарность, неблагодарный
占拠	せんきょ	оккупация, захват
供物	くもつ	приношение (божествам)
妖精	ようせい	фея, эльф
暴挙	ぼうきょ	буйство, бунт
逆上せる	のぼせる	испытывать прилив крови к голове, возбудиться, потерять голову
滞る	とどこおる	накапливаться, запаздывать, застревать, быть просроченным
妨げる	さまたげる	мешать, препятствовать, задерживать, тормозить
透かさず	すかさず	не теряя ни минуты
左団扇	ひだりうちわ	легкость и комфорт
化身	けしん	инкарнация, воплощение
余波	よは	последействие, вторичный эффект, отзвуки чего-либо
失調	しっちょう	недостаток гармонии
鬱陶しい	うっとうしい	мрачный, наводящий тоску
暖炉	だんろ	очаг, камин, печка
内紛	ないふん	внутренние распри, конфликты
攫う	さらう	похищать, уносить, забирать
囮	おとり	живая приманка
家臣	かしん	вассал
不滅	ふめつ	нерушимость, бессмертие
彗星	すいせい	комета
一顧	いっこ	внимание
手錠	てじょう	наручники
形無し	かたなし	быть испорченным, оказаться напрасным, пойти прахом
藍色	あいいろ	индиго, темно-синий цвет
主君	しゅくん	господин, суверен
不服	ふふく	недовольство, возражение, протест
予言	よげん	предсказание, пророчество
殲滅	せんめつ	поголовное истребление
徒手空拳	としゅくうけん	с пустыми руками, без гроша
劣勢	れっせい	уступающая сила
面映い	おもはゆい	стыдливый, робкий, застенчивый
監禁	かんきん	тюремное заключение
気障	きざ	манерный, нарочитый, безвкусный
旋回	せんかい	оборот, разворот, вираж
燻ぶる	くすぶる	коптеть, сидеть взаперти, застаиваться
先陣	せんじん	передовые позиции
結果論	けっかろん	сомнение в правильности, суждние задним числом
咬む	かむ	кусать
帝国	ていこく	империя
瞑想	めいそう	глубокое раздумье
乗じる	じょうじる	воспользоваться, умножать
薪	たきぎ	дрова
戦闘機	せんとうき	истребитель　(авиационный)
行く手	ゆくて	дорога, путь
代名詞	だいめいし	местоимение
余興	よきょう	увеселение, представление
目まぐるしい	めまぐるしい	головокружительный
壁紙	かべがみ	обои
太古	たいこ	древние времена, древность
蟲惑的	こわくてき	обворожительный, соблазнительный, очаровательный
見返り	みかえり	в обмен на
拱く	こまねく	наблюдать, сложа руки
丹田	たんでん	нижняя часть живота
丘陵	きゅうりょう	холм
稜線	りょうせん	линия гор
交替	こうたい	смена, замена
慈愛	じあい	любовь, ласка
感染	かんせん	инфекция, заражение
蔦	つた	дикий виноград, японский плющ
絢爛	けんらん	пышность, великолепие
千々に	ちぢに	вдребезги, горько (сокрушаться)
陥没	かんぼつ	оседание, опускание, погружение
砂礫	されき	гравий, щебень
大理石	だいりせき	мрамор
自尊心	じそんしん	чувство собственного достоинства, самоуважение
多彩	たさい	многоцветный, полихромный, красочный
毛頭	もうとう	ни на волос, на на йоту, ни в малейшей степени
理念	りねん	понятие, идея
小出し	こだし	в малых количествах
気前	きまえ	великодушие, щедрость
くすむ	くすむ	быть темноватым, неярким, тусклым
乱立	らんりつ	быть в переизбытке, мельтешить в галазах от
悶える	もだえる	терзаться, мучиться
奇形	きけい	уродство, отклонение от нормы
瘤	こぶ	шишка, горб, нарост
増大	ぞうだい	увеличение
有りと有らゆる	ありとあらゆる	каждый, все до последнего
隕石	いんせき	метеорит
千載一遇	せんざいいちぐう	раз в тысячу лет, раз в жизни
塵芥	ちりあくた	сор, грязь, мусор
決死	けっし	отчаянный, готовый на смерть, бесстрашный
難行	なんぎょう	наказание, покаяние
無我夢中	むがむちゅう	самозабвение, восторг, не помня себя
模倣	もほう	подражание
灰燼	かいじん	пепел
擬い	まがい	подделка, имитация
殉じる	じゅんじる	пожертвовать собой, умереть
創痍	そうい	рана, ранение
統べる	すべる	управлять, объединять, собирать
公平無私	こうへいむし	беспристрастный и бескорыстный
歩兵	ほへい	пехота, пехотинец
民族	みんぞく	нация, национальность, народ
干上がる	ひあがる	засыхать, иссякать, пересыхать
軍備	ぐんび	военные приготовления, вооружение
統治	とうち	правление, управление
和睦	わぼく	примирение, заключение мира
付け焼刃	つけやきば	временное средство, блеф, показуха
目敏い	めざとい	наблюдательный, легко просыпающийся
だらける	だらける	быть вялым, неопрятным
腹心	ふくしん	глубина души, душевность, преданный человек
損失	そんしつ	потеря, урон, убыток
剥奪	はくだつ	разжалование,лишение
放蕩	ほうとう	распущенность, разврат
妙手	みょうしゅ	великолепное мастерство, виртуоз, удачный ход
雑魚	ざこ	мелюзга, мелкая сошка
断食	だんじき	пост, воздержание от пищи
純情	じゅんじょう	чистосердечный, простодушный
持続	じぞく	продолжаться, длиться, держаться
分化	ぶんか	разделение, разветвление, специализация
突出	とっしゅつ	выступ
返済する	へんさいする	возвращать, уплачивать, погашать долг
湯船	ゆぶね	бадья для купания, плавучая баня
漂白	ひょうはく	отбелка, беление
投合	とうごう	совпадение (взглядов)
注釈	ちゅうしゃく	комментарий, аннотация
偶像	ぐうぞう	идол, статуя
支持	しじ	поддержка
反感	はんかん	антипатия, внутренний протест, отвращение
闘技場	とうぎじょう	арена, место действия, поле сражения
喧噪	けんそう	шум, гвалт, переполох
惨たらしい	むごたらしい	жестокий, страшный
遠征	えんせい	поход, кампания, поездка
簒奪	さんだつ	узурпация, незаконный захват
小雨	こさめ	мелкий дождик, морось
清算	せいさん	покончить с, сведение баланса, ликвидация
恐縮する	きょうしゅくする	быть смущенным, тронутым, благодарным
拵える	こしらえる	изготовлять, сочинять, иметь, прихорашиваться
叱責	しっせき	выговор, нотация, замечание
好評	こうひょう	благоприятные отзывы, хорошая оценка, успех
擬き	もどき	псевдо
恒久	こうきゅう	постоянный, неизменный, вечный
授ける	さずける	награждать, предоставлять, обучать
牙城	がじょう	цитадель, твердыня, бастион
利己	りこ	себялюбие, своекорыстие, эгоизм
軸	じく	ось, стержень, стебель
錘	おもり	гиря
羽毛	うもう	пух, перья, плюмаж
散漫	さんまん	бессвязный, рассеянный
一掃	いっそう	выметание, искоренение
一網打尽	いちもうだじん	разом, поголовно
雑兵	ぞうひょう	рядовые, солдаты
短縮	たんしゅく	уменьшение, сокращение, снижение
鈍ら	なまくら	тупой человек, никчемный человек
侮蔑	ぶべつ	презрение, пренебрежение
愛玩する	あいがんする	любить как вещь
歯牙	しが	зубы
前例	ぜんれい	прецедент
出典	しゅってん	источник
湯水	ゆみず	изобилие
推理	すいり	умозаключение, логическое суждение
求婚	きゅうこん	свадебное предложение
冥利	みょうり	божья милость, благодать
頑固	がんこ	упрямство
縁組	えんぐみ	усыновление, брак, породниться
図星	ずぼし	мишень, яблочко
団結	だんけつ	объединение, сплочение, солидарность
厚意	こうい	доброта, любезность
伽藍	がらん	храм, монастырь
こんがらがる	こんがらがる	запутаться, сбиться, осложниться
臣下	しんか	вассал, нижестоящий
逢い引き	あいびき	свидание
見積もり	みつもり	предварительная оценка, смета
ぞんざい	ぞんざい	легкомысленный, небрежный, неряшливый
水族館	すいぞくかん	океанариум
玉砕する	ぎょくさいする	предпочесть смерть бесчестью
検証	けんしょう	экспертиза, осмотр, опознание
品揃え	しなぞろえ	ассортимент
近隣	きんりん	окрестности, округа
解除	かいじょ	отмена, освобождение от, разоружение
電柱	でんちゅう	телеграфный столб
宗旨	しゅうし	религиозная доктрина, вероучение
鉄槌	てっつい	молот
謳歌	おうか	прославление, воспевание
甘んじる	あまんじる	быть довольным, довольствоваться
古今東西	ここんとうざい	везде и во все времена
帰順	きじゅん	возвращение к покорности, повиновение
重宝	ちょうほう	бесценное сокровище, полезный, ценный
系譜	けいふ	генеалогия, родословная
一日の長	いちじつのちょう	быть намного опытнее, старше
開闢	かいびゃく	сотворение мира
哄笑	こうしょう	громкий смех
先見	せんけん	дальновидность, предусмотрительность, предвидение
原罪	げんざい	первородный грех
独り善がり	ひとりよがり	самодовольный
犇く	ひしめく	поднимать шум, толпиться
謀反	むほん	мятеж, бунт, заговор, измена
妄念	もうねん	заблуждение, иллюзия
反旗	はんき	знамя восстания
口説く	くどく	уговаривать, соблазнять, жаловаться на
排出	はいしゅつ	выхлоп, выпуск, выброс
重点的	じゅうてんてき	главным образом
嬌声	きょうせい	красивый голос
洞穴	どうけつ	пещера
告発する	こくはつする	предъявлять обвинение, обличать, разоблачать
厳か	おごそか	торжественный, величественный
燐光	りんこう	фосфоресценция, свечение
潤ける	ふやける	промокнуть, быть мокрым
傑作	けっさく	шедевр, грубая ошибка, ляп
漁師	りょうし	рыбак
欠損	けっそん	нехватка, потери, урон
苗床	なえどこ	питомник, парник, грядка с рассадой
溶接	ようせつ	сварка
引き分け	ひきわけ	ничья
最高潮	さいこうちょう	кульминация, зенит, пик
安置する	あんちする	водружать, класть (в гроб)
不敵	ふてき	бесстрашный, неустрашимый, дерзкий
賭する	とする	держать пари, ставить на карту, рисковать чем-либо
悼む	いたむ	оплакивать, скорбеть, горевать
慟哭	どうこく	рыдания
鎮魂	ちんこん	упокоение души
円滑	えんかつ	гладкий, гармоничный, мирный
野卑	やひ	вульгарный, грубый, низкий
共同戦線	きょうどうせんせん	единый фронт
口車	くちぐるま	льстивые слова, заискивания
檄昂	げきこう	ярость, гнев, возбуждение
相互作用	そうごさよう	взаимодействие
調和	ちょうわ	гармония, слаженность, симметрия
度外視	どがいし	игнорирование, отбрасывание
怨霊	おんりょう	мстительный дух
落ち度	おちど	ошибка, упущение, вина
尊厳	そんげん	достоинство, величие, святость
眦	まなじり	угол глаза
香水	こうすい	духи, парфюм
護身	ごしん	самозащита
風靡する	ふうびする	завоевать, властвовать
割り方	わりかた	сравнительно
雌雄	しゆう	победа или поражение, оба пола
奮戦	ふんせん	упорный бой, ожесточенное сражение
噎ぶ	むせぶ	захлебываться, задыхаться
宴	うたげ	банкет, прием
唾棄する	だきする	плевать, ненавидеть
指揮	しき	командование, руководство, дирижирование
手古摺る	てこずる	не знать, что делать с
配役	はいやく	подбор актеров, кастинг
贋作	がんさく	подделка
硫酸	りゅうさん	серная кислота
極光	きょくこう	полярное сияние
操	みさお	целомудрие, невинность, верность
足蹴	あしげ	пинок
凡庸	ぼんよう	заурядность, посредственность
印刷	いんさつ	печатание
去勢	きょせい	кастрация
溜飲	りゅういん	изжога
裁決	さいけつ	решение, вердикт
懲役	ちょうえき	каторга
禁固	きんこ	тюремное заключение
拘留	こうりゅう	административный арест
科料	かりょう	штраф
詐称	さしょう	присвоение чужого имени, дача неверных показаний
窃盗	せっとう	кража, хищение, вор
強姦	ごうかん	изнасилование
放火	ほうか	поджог
爆破	ばくは	подрыв, взрыв
過失	かしつ	ошибка, неосторожность, случайность
誤診	ごしん	ошибочный диагноз
横領	おうりょう	захват, присвоение, узурпация
罪状	ざいじょう	виновность, вина
短絡	たんらく	короткое замыкание
凸凹	でこぼこ	неровность, диспропорция, дисбаланс
守銭奴	しゅせんど	скупец, скряга
明細	めいさい	подробности, детали
天王山	てんのうざん	решающий момент
張り合う	はりあう	соперничать, соревноваться
腹癒せ	はらいせ	месть, отплата
黒曜石	こくようせき	обсидиан, вулканическое стекло
屈強	くっきょう	сильный, крепкий, здоровый
苦し紛れに	くるしまぎれに	в отчаянии
炎上	えんじょう	уничтожение огнем, сгорание
貶す	けなす	отзываться пренебрежительно, принижать, поносить
術数	じゅっすう	уловка
不発	ふはつ	осечка
目印	めじるし	метка, отметка
是が非でも	ぜがひでも	правильно или нет, во что бы то ни чтало
蛇口	じゃぐち	выпускное отверстие
居留守	いるす	отсутствующий вид
倦ねる	あぐねる	уставать от, терять интерес к
在庫	ざいこ	запас, наличие
発注する	はっちゅうする	заказывать что-либо
平米	へいべい	квадратный метр
球	たま	мяч, шар, бусинка
鶴の一声	つるのひとこえ	решающее слово (авторитета)
奮発	ふんぱつ	напряженные усилия, раскошелиться на
和気藹々	わきあいあい	дружный, гармоничный, счастливый
人口密度	じんこうみつど	плотность населения
姦しい	かしましい	шумливый, крикливый
格言	かくげん	афоризм, изречение, пословица
志す	こころざす	стремиться к, намереваться
具備する	ぐびする	обладать
従業員	じゅうぎょういん	служащий, работник, штат
軟膏	なんこう	мазь
能書き	のうがき	самореклама, описание действия лекарства
卒倒	そっとう	обморок
紛らわしい	まぎらわしい	двусмысленный, неясный, сбивчивый
仲違い	なかたがい	разногласия, разрыв
最寄	もより	ближайший, соседний, первый попавшийся
警備	けいび	охрана, караул
怠慢	たいまん	халатность, небрежность, нерадивость
暈す	ぼかす	стушевывать, смазывать, не говорить прямо, темнить
腕っ節	うでっぷし	физическая сила
仁王	におう	стражи врат
放射	ほうしゃ	излучене
防音	ぼうおん	звукоизоляция, поглощение звука
舞踏	ぶとう	танец, пляска
本番	ほんばん	выступление перед зрителями, а не репетиция
景気	けいき	положение дел, бодрость, живость
匍匐する	ほふくする	ползти, красться
焦土	しょうど	выжженная земля
中腰	ちゅうごし	полусидя
変梃	へんてこ	чудной, странный
徹底抗戦	てっていこうせん	сопротивление до последнего
安否	あんぴ	положение, самочувствие
垣根	かきね	ограда, забор
紛う	まがう	иметь большое сходство, быть принятым за
勇敢	ゆうかん	храбрость, отвага, доблесть
立て続け	たてつづけ	последовательность
宙吊り	ちゅうづり	зависнуть в воздухе
西部劇	せいぶげき	вестерн
絞首台	こうしゅだい	виселица
応戦する	おうせんする	принимать вызов, отвечать огнем
横合い	よこあい	бок, фланг
壊死	えし	некрооз, омертвение
魂胆	こんたん	тайный умысел, скрытая цель, душа
実質的	じっしつてき	существенный, реальный, осязаемый
世代	せだい	поколение
体たらく	ていたらく	плохое положение дел
奴隷	どれい	раб, невольник
念入り	ねんいり	тщательный, добросовестный, внимательный, скрупулезный
衆生	しゅじょう	живые существа
傑出	けっしゅつ	выдающийся, передовой
雑談	ざつだん	разговоры, болтовня
療養	りょうよう	лечение, выздоровление
捲くし立てる	まくしたてる	говорить без умолку, трещать
判定	はんてい	судебное решение, вердикт, присуждение
謹製	きんせい	изготовлено в, чье-либо производство
歯痒い	はがゆい	выводящий из терпения, нестерпимый
差し当たって	さしあたって	в данном случае, сейчас
紫紺	しこん	темно-фиолетовый цвет
囚人	しゅうじん	заключенный, арестант
顎【門】	あぎと	жабры
禿げ	はげ	лысина, плешь
甚だしい	はなはだしい	сильный, чрезвычайный, огромный, ужасный
狗	いぬ	собака
虚栄	きょえい	тщеславие
怒号	どごう	яростный крик, рев
竜巻	たつまき	смерч, торнадо
違える	たがえる	нарушать
陣営	じんえい	лагерь (политический)
正攻法	せいこうほう	фронтальная атака
溺死する	できしする	утонуть
果し合い	はたしあい	поединок
天賦	てんぷ	природное дарование, врожденный
非凡	ひぼん	незаурядный
賞味する	しょうみする	находить прекрасным, наслаждаться
師範	しはん	инструктор, тренер, учитель
商売	しょうばい	торговля, сделка, занятие, профессия
破顔	はがん	широкая улыбка
人望	じんぼう	популярность
軍師	ぐんし	тактик, стратег, интриган, штабный офицер
眉目	びもく	черты лица, наружность, облик
秀麗	しゅうれい	изящный, красивый, элегантный
品行方正	ひんこうほうせい	безукоризненное поведение
削除	さくじょ	вычеркивание, исключение
風通し	かぜとおし	вентиляция, проветривание
多面	ためん	многогранный
万華鏡	まんげきょう	калейдоскоп
高を括る	たかをくくる	недооценить
一世一代	いっせいちだい	лучший в чье-либо жизни
石膏	せっこう	гипс
二者択一	にしゃたくいつ	одно из двух, альтернатива
悲壮	ひそう	трагический, патетический
蝋細工	ろうざいく	восковая фигура
人畜	じんちく	люди и животные, живые существа
妥当	だとう	надлежащий, уместный, адекватный
不始末	ふしまつ	халатность, распущенность, небережливость
卒が無い	そつがない	осторожный, предусмотрительный, внимательный
道程	みちのり	путь, маршрут, процесс
献血	けんけつ	сдача крови, донорство
競馬	けいば	скачки, бега
確執	かくしつ	раздоры, нелады, вражда
過激	かげき	радикальный, экстремистский, ультра
按配する	あんばいする	устанавливать, распределять, регулировать
振り出し	ふりだし	начало, отправной пункт, выдача, настойка
厳粛	へんしゅく	строгий, серьезный, торжественный, величавый
二股掛ける	ふたまたかける	сидеть на двух стульях
士気	しき	боевой дух, моральное состояние (солдат)
初志	しょし	первоначальное намерение
貫徹	かんてつ	осуществление, реализация, довершение
二つ返事	ふたつへんじ	немедленный ответ, сразу, без колебаний
紙幣	しへい	бумажные деньги, банкноты
付け入る	つけいる	пользоваться в личных целях
熱血漢	ねっけつかん	горячая голова, пылкая душа
一本木	いっぽんぎ	прямой характер
不調	ふちょう	неуспех, неудача, разрыв
一喜一憂	いっきいちゆう	надежда смешанная со страхом, не в состоянии успокоиться
突破口	とっぱこう	брешь, место прорыва
明朗	めいろう	ясный, светлый, прямой, честный
許嫁	いいなずけ	суженая, суженый
近々	ちかぢか	скоро, вскоре
出陣する	しゅつじんする	отправляться на фронт
痩躯	そうく	тонкая фигура
除去する	じょきょする	устранять, убирать, удалять
大漁	たいりょう	большой улов
確固	かっこ	твердо, решительно
巌	いわお	утес, скала
心髄	しんずい	сущность, суть, дух, квинтэссенция
逸する	いっする	убегать, ускользать, упускать, терять
極意	ごくい	самое главное, основное
蛆虫	うじむし	личинка, опарыш
挫折	ざせつ	провал, срыв, неудача, фрустрация
小便	しょうべん	моча
再興	さいこう	восстановление, возрождение
保菌者	ほきんしゃ	бациллоноситель
朗報	ろうほう	приятные известия
見所	みどころ	перспективы
増長する	ぞうちょうする	зазнаваться, задирать нос
誇示	こじ	выставление на показ
人足	にんそく	чернорабочий, носильщик
彩る	いろどる	расцвечивать, окрашивать, гримироваться
食道	しょくどう	пищевод
有事	ゆうじ	критический момент, экстренная ситуация
落ち合う	おちあう	встречаться, сходиться, сливаться
討論	とうろん	прения, дебаты, дискуссия, диспут
芳しい	かんばしい	ароматный, душистый, хороший, похвальный
疲弊	ひへい	обеднение, истощение
攻略	こうりゃく	захват, взятие штурмом
素通り	すどおり	проходящий мимо
半纏	はんてん	рабочая куртка хантэн
略式	りゃくしき	упрощенный, неформальный
図る	はかる	заботиться о, стремиться к, замышлять, намереваться
口答え	くちごたえ	возражение, опровержение, меткий ответ
扶持	ふち	пособие, вспомоществование
処遇	しょぐう	обращение, отношение
正方形	せいほうけい	квадрат
情状酌量	じょうじょうしゃくりょう	учитывание обстоятельств
背丈	せたけ	рост человека
光合成	こうごうせい	фотосинтез
お墨付き	おすみつき	почерк, автограф, официальное разрешение
出前	でまえ	доставка еды, готовые блюда, доставляемые по заказу
へばる	へばる	истощаться, изнуряться
色香	いろか	красота, привлекательность, обаяние, цвет и аромат
好	よしみ	дружба, близость
梟	ふくろう	сова
忠誠	ちゅうせい	верность, преданность
不義理	ふぎり	мошенничество, несправедливость, нечестность, нарушение слова
腫瘍	しゅよう	опухоль, новообразование
内密	ないみつ	секретность
楽曲	がっきょく	мелодия
享楽	きょうらく	наслаждение
恥辱	ちじょく	позор, срам, бесчестье, унижение
根底	こんてい	корень, основание, базис
着飾る	きかざる	одеваться, наряжаться
恫喝	どうかつ	угроза, запугивание, шантаж
氷水	こおりみず	ледяная вода, струганый лед
余生	よせい	оставшиеся годы
霊長	れいちょう	царь природы, венец творения
標識	ひょうしき	опознавательный знак, буй
霊廟	れいびょう	усыпальница, святилище
労する	ろうする	трудиться, стараться
茎	くき	стебель, ствол
筐体	きょうたい	ящик, футляк
優劣	ゆうれつ	превосходство, доминирование, приоритет (относительные)
無駄骨	むだぼね	напрасные усилия, пустая трата сил
退っ引きならない	のっぴきならない	неизбежный, неминуемый
正念場	しょうねんば	критический момент
採算	さいさん	прибыль, выгода
撹乱	かくらん	беспорядок, волнение, нарушение
化膿	かのう	нагноение
骨髄	こつずい	костный мозг
合作	がっさく	совместная работа, сотрудничество, соавторство
杓文字	しゃもじ	черпак, большая ложка
落差	らくさ	перепад уровней
鬱蒼	うっそう	толстый, плотный, пышный
烙印	らくいん	клеймо, тавро
冥府	めいふ	царство теней
銘じる	めいじる	запечатлевать
遭難	そうなん	бедствие, авария, кораблекрушение
気後れ	きおくれ	робость, нерешительность, медлительность
静電気	せいでんき	статическое электричество
闘牛士	とうぎゅうし	матадор
雄牛	おうし	бык
餌食	えじき	корм, наживка, добыча
切望	せつぼう	горячее желание, надежда
探求	たんきゅう	поиски, расспросы
凡百	ぼんぴゃく	всяческие, всевозможные
手繰る	たぐる	перехватывать руками, тянуть
惨敗	ざんぱい	полное поражение, разгром
粛正	しゅくせい	приведение в порядок, укрепление (дисциплины)
不撓不屈	ふとうふくつ	несгибаемый, непоколебимый, непреклонный
畏怖	いふ	страх, боязнь
適正	てきせい	правильный, надлежащий, приемлемый
照準	しょうじゅん	прицеливание, наводка
裏を掻く	うらをかく	перехетрить, нанести поражение
参謀	さんぼう	штабной офицер, штаб, участие в планировании
光明	こうみょう	свет, надежда
豊富	ほうふ	изобилие
袂を分かつ	たまとをわかつ	расставаться, разрывать отношения
猪	いのしし	дикий кабан
小競り合い	こぜりあい	стычка, перестрелка, пререкания, спор
調律	ちょうりつ	настройка
号砲	ごうほう	сигнальная пушка
鏃	やじり	острие стрелы
絶する	ぜっする	быть выше (слов, воображения)
賛辞	さんじ	похвала, дифирамб, панегирик
歴然	れきぜん	явный, отчетливый, очевидный
電荷	でんか	электрический разряд
喫する	きっする	пить, есть, курить, терпеть (поражение)
必修	ひっしゅう	необходимый, обязательный для изучения
格子	こうし	решетка
解析	かいせき	анализ, аналитическое исследование
首尾	しゅび	результат, исход, начало и конец, отношение к
敵愾	てきがい	враждебность, злоба
両立	りょうりつ	совместимость
持て囃す	もてはやす	восхвалять, превозносить, дорожить
名工	めいこう	выдающийся мастер
祝福する	しゅくふくする	благословлять, желать счастья
豹変	ひょうへん	внезапная метамарфоза
兆候	ちょうこう	знак, признак, симптом, примета
芳醇	ほうじゅん	плодородный, богатый, роскошный
喀血	かっけつ	кровохарканье
金槌	かなづち	молот
偏る	かたよる	отклоняться, тяготеть, быть односторонним
命綱	いのちづな	опора в жизни, страховочный пояс
韻	いん	рифма
失禁	しっきん	недержание
隠れ蓑	かくれみの	плащ-невидимка, прикрытие
焼べる	くべる	бросать в огонь, сжигать
煤	すす	сажа, копоть
霊媒	れいばい	медиум
下手物	げてもの	простая вещь, дешевка
入れ知恵	いれぢえ	подстрекательство, наущение
局面	きょくめん	положение дел, ситуация, позиция
駆られる	かられる	быть охваченным (чувством)
起伏	きふく	неровность, волнистость, подъем и спуск
排斥	はいせき	устранение, удаление, изгнание, бойкот
劣情	れつじょう	низменные чувства, животная страсть
鑢	やすり	напильник, рашпиль
苗木	なえぎ	саженец, молодое деревцо
高飛車	たかびしゃ	высокомерный, начальнический
常備	じょうび	регулярный, постоянный, резервный, запасной
暗雲	あんうん	темные мрачные тучи, угроза
捏造	ねつぞう	фальсификация, подлог, ложь
氷結	ひょうけつ	замерзание, замораживание
野垂れ死ぬ	のたれじぬ	умереть как собака у обочины
水平	すいへい	горизонталь
起死回生	きしかいせい	спасение, оживление, воскрешение из мертвых
闌/酣	たけなわ	самый разгар
不甲斐無い	ふがいない	трусливый, бесхарактерный, беспомощный, неумелый
精肉	せいにく	разделанное мясо, вырезка
充てる	あてる	предназначать, ассигновать
対岸	たいがん	противоположный берег
山脈	さんみゃく	горный хребет
材質	ざいしつ	свойства материала
創作	そうさく	творчество, оригинальное произведение
共感する	きょうかんする	разделять взгляды кого-либо
雪崩	なだれ	снежная лавина, склон
殆	ほとほと	совсем
縦軸	たてじく	вертикальная ось, стержень
五臓六腑	ごぞうろっぷ	внутренности
流儀	りゅうぎ	стиль, манера, школа, направление
撓む	たわむ	гнуться, ослаблять усилия
副産物	ふくさんぶつ	побочные продукты производства, осадок, отстой
頭を振る	かぶりをふる	мотать головой (отрицание)
惰眠	だみん	бездеятельность, леность, оцепенение, летаргия
相対する	あいたいする	быть лицом к лицу, лично, по взаимному соглашению
失脚	しっきゃく	потеря должности, своего положения
磐石	ばんじゃく	скала, утес
急務	きゅうむ	неотложная задача, насущная необходимость, срочное дело
資金	しきん	средства, фонды, капитал
断罪	だんざい	осуждение (преступника)
洞察	どうさつ	умение различать, распознавать
