読む	よむ	читать
締める	しめる	Связывать, завязывать, привязывать
出口	でぐち	Выход
花瓶	かびん	Ваза
動物	どうぶつ	животное
美少年	びしょうねん	красивый молодой человек
封筒	ふうとう	Конверт
差す	さす	поднимать (вытягивать) руки,раскрывать (зонт)
警官	けいかん	Полицейский
夕飯	ゆうはん	Ужин
横	よこ	Рядом, около, сторона, ширина
零	れい	Ноль, ничто
門	もん	Ворота
姫	ひめ	принцесса
下りる	おりる	спускаться с горы,спускаться по лестнице
焼ける	やける	гореть,жариться,обгореть на солнце
又は	または	или,иначе
仕方	しかた	метод
細かい	こまかい	(1)маленький,(2) тонкий,мелкий
鞄	かばん	сумка
投げる	なげる	бросать,выбрасывать
億	おく	100,000,000,сто миллионов
一昨日	おととい	позавчера
真中	まんなか	середина
伺う	うかがう	спрашивать (3)
食料品	しょくりょうひん	продукты,бакалейные товары
役に立つ	やくにたつ	быть полезным
喉	のど	горло
打つ	うつ	бить,ударять
牛	うし	корова, бык
喜ぶ	よろこぶ	восхищаться
調べる	しらべる	расследовать,проверять
確り	しっかり	твердо,крепко,стойко
成程	なるほど	вижу,теперь я понимаю
機会	きかい	шанс,возможность
素晴らしい	すばらしい	замечательный,великолепный
国際	こくさい	международный
連絡	れんらく	связь,соединение
数学	すうがく	математика
研究室	けんきゅうしつ	лаборатория
会場	かいじょう	зал собраний,место встречи,площадка
戦争	せんそう	война
空港	くうこう	аэропорт
場合	ばあい	дело,ситуация
用事	ようじ	задачи,дела
寝坊	ねぼう	поздно ложиться спать
払う	はらう	платить
回る	まわる	вращаться
踊る	おどる	танцевать
驚く	おどろく	удивляться,изумляться
汽車	きしゃ	паровоз
急行	きゅうこう	скорый поезд
用意	ようい	подготовка
泊まる	とまる	оставаться в ..
茶碗	ちゃわん	кружка
林	はやし	лес
習慣	しゅうかん	обычай,традиция
工業	こうぎょう	промышленность
濡れる	ぬれる	мокнуть
育てる	そだてる	поднимать
勝つ	かつ	побеждать,выигрывать
喧嘩	けんか する	ссора,ссориться
鳴る	なる	звучать
匂い	におい	запах,аромат
些とも	ちっとも	вовсе нет (с глаголами отрицания)
踏む	ふむ	ступать на, переживать что-л.
以内	いない	внутри, менее чем
汚れる	よごれる	испачкаться
郊外	こうがい	пригород,окраины
様	よう	стиль,манера
以上	いじょう	более чем, это все
折る	おる	ломать,сгибать,срывать
用	よう	задача,дело,использование
冷房	れいぼう	прохлада
砂	すな	песок
祈る	いのる	просить,молить,желать
象	ぞう	слон
不味い	まずい	неприятный, отвратительный
海岸	かいがん	берег,пляж
掏摸	すり	вор-карманник
舟	ふね	лодка,корабль
騒ぐ	さわぐ	шуметь,волновать
勿論	もちろん	без сомнений,конечно
専門	せんもん	специальность
押し入れ	おしいれ	стенной шкаф
可笑しい	おかしい	странный,забавный
